x1,x2,x3,x4,x5,y = x1 + x2 + 3*x3 + 9*x4 + 2*x5 + 3
0.35324253,5.9755791,2.706735821,0.843171007,2.816473169,31.98496032
0.168364948,5.639017587,0.12741667,1.692300935,2.219108937,31.58748036
0.467658543,5.750045485,3.574512091,0.616532336,1.572818857,31.28030027
0.87020751,5.556853161,4.904641106,1.757294929,1.71152217,45.39984865
0.756689035,5.052290938,4.903829687,0.465691212,0.673989454,31.77361258
0.483995267,5.310578173,1.818051525,1.259551344,0.371972782,26.46303936
0.89122941,5.583612462,0.458103691,1.738848847,1.671184747,32.04657291
0.662249447,5.201116737,0.358366308,0.523356157,0.744052699,16.74829376
0.949336484,5.547600586,4.526101605,1.360696512,0.264646586,36.37675403
0.525138405,5.615926575,3.569815549,1.505271891,0.584486958,35.70068599
0.742485803,5.671159789,1.300160524,0.214945967,2.637739865,21.63990062
0.868516131,5.988187302,3.75836519,1.278636919,0.273414566,33.23218709
0.464454718,5.800437685,4.555677764,0.523682318,1.865686426,33.35418897
0.302258436,5.057616828,2.662439264,1.781022563,0.589185093,34.00693868
0.568659574,5.208336712,3.262181021,0.879422337,1.722806811,29.9557303
0.089562536,5.607953706,0.362516284,0.493313081,2.591824461,20.43981123
0.351970015,5.358055963,4.591205903,0.594144221,1.908677486,31.8833182
0.200553369,5.281767941,2.484547796,0.58299292,0.56105805,22.82181092
0.48074317,5.362714152,2.330513172,1.543013715,1.491392908,35.22318572
0.161820866,5.503035558,1.513415556,1.648623086,1.160631026,33.3352958
0.44579145,5.25494992,3.676884364,0.80663702,1.52919254,30.13226385
0.663596299,5.168253246,2.303337538,0.986786976,0.200236303,25.9285615
0.54627082,5.918833084,3.868599694,0.390148196,2.240646895,31.59575292
0.99238019,5.169244371,3.800375483,1.36152582,1.447275321,38.25692948
0.358818882,5.504857595,0.578806745,0.284560468,2.090639871,18.30643008
0.32656093,5.277484976,0.603839042,1.891485047,0.905406261,31.57094397
0.737648922,5.165551067,0.729235073,1.896827514,0.732960707,32.48716983
0.792066889,5.047379346,2.88815956,1.214632594,0.444202165,29.56919937
0.339157547,5.00129798,0.318222371,0.698006871,2.685230682,23.47075506
0.53532278,5.805831802,0.426232035,0.383411341,2.77929674,21.9399425
0.855805524,5.679900807,1.534324704,1.254502401,2.46339927,31.44062756
0.781970849,5.735034503,4.041491909,0.894784875,1.728052107,35.49715291
0.48081871,5.770979933,2.085480239,1.845764399,2.542428436,38.43455818
0.824408158,5.772689228,1.961220513,1.741669182,0.780523836,35.58606118
0.67376709,5.271604325,4.763084037,0.463063403,1.355955014,30.54015972
0.816761387,5.441122744,0.591142192,1.415191264,2.993600855,29.94506541
0.224419157,5.626782886,3.366359228,0.498257395,0.735321434,27.79691433
0.100868234,5.784967493,0.517250065,1.178816217,2.972590489,29.85607595
0.08352498,5.598048475,0.55608124,1.817761763,2.621927084,34.66532417
0.276588109,5.903113806,2.320886358,0.130204228,2.512945066,25.2042781
0.903434548,5.242535553,0.992111274,1.751728218,0.841977833,31.45668578
0.977758938,5.469476747,2.607560121,1.751301312,0.971573292,37.24373848
0.792967511,5.773785923,3.162086727,1.745091968,1.059467054,39.77424062
0.511540251,5.426188905,2.870116217,1.088036775,1.327920587,32.73969027
0.425723731,5.820702817,0.009236829,1.795653499,2.509426282,30.93087173
0.738120056,5.66473584,4.537971656,1.070739675,1.351882105,37.18988625
0.486120216,5.309783475,2.060524933,0.847582792,1.641489413,27.29609612
0.710498317,5.545889345,0.174785959,0.252856473,0.51380092,14.28230526
0.93508472,5.647907737,3.239921472,1.740295378,1.161617923,37.84110982
0.707480085,5.044326722,4.660985739,1.332221555,1.992181895,38.73705359
0.205592195,5.444243613,0.014286902,0.205230793,2.063441919,14.77040119
0.627260808,5.664855022,1.738513584,0.407817518,0.884621081,22.06221967
0.803179745,5.258134517,3.172132217,1.399780608,2.947877699,39.75199082
0.499104319,5.461774147,3.74233688,0.645911819,2.533609774,31.37591952
